"Channel","VideoID","Status","Reason","Words","Folder"
"Fouloscopie","zRpcpzs7bDI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","hmo2uQbpdbI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","di8MewR_nMs","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","peDhGtFuQ_s","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","P-n_PrTKIbQ","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","1xe3zy2mU2M","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","Y-1qLR2w60M","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","Jtmo3T98eQw","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","gVnPwtMi208","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","Ch7VxxTBe1c","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","qojBLk-h6rk","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","mhLKT4D2YvI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","YO2QqBLfmXM","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","A5NzffihYzo","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","gtXHv95pwyE","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","EcYcIAaTeRA","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","El1vOdI5xno","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","a_O8u0YT8T0","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","7AktPjxLe8k","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","aH77WLlx8kI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","EsrDF98FsUk","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","Eh7l4Gvx054","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","5CaVhGTG8eA","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","ppSrAHoGwrI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","HHCiNPtR1NI","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","w-Oy4TYDnoQ","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","Br5U38OheyM","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","UX7YQ6m2r_o","UNKNOWN","","0","Fouloscopie"
"Fouloscopie","nF0yD6TJR_s","UNKNOWN","","0","Fouloscopie"
"Veritasium","ksn5yrsC3Wg","UNKNOWN","","0","Veritasium"
"Veritasium","PPJ6NJkmDAo","UNKNOWN","","0","Veritasium"
"Veritasium","jjp3WC8Unj8","UNKNOWN","","0","Veritasium"
"Veritasium","YSJY3DvnybE","UNKNOWN","","0","Veritasium"
"Veritasium","9szhjhO9epA","UNKNOWN","","0","Veritasium"
"Veritasium","Ol18JoeXlVI","UNKNOWN","","0","Veritasium"
"Veritasium","aoag03mSuXQ","UNKNOWN","","0","Veritasium"
"Veritasium","cMx139eTxoc","UNKNOWN","","0","Veritasium"
"Veritasium","6HVYHNTDOFs","UNKNOWN","","0","Veritasium"
"Veritasium","XKSjCOKDtpk","UNKNOWN","","0","Veritasium"
"Veritasium","P-4pbFcERnk","UNKNOWN","","0","Veritasium"
"Veritasium","MiUHjLxm3V0","UNKNOWN","","0","Veritasium"
"Veritasium","piHGnG4LsmQ","UNKNOWN","","0","Veritasium"
"Veritasium","NIk_0AW5hFU","UNKNOWN","","0","Veritasium"
"Veritasium","Y-W-w8yNiKU","UNKNOWN","","0","Veritasium"
