"URL";"Prefixe";"Langue"
"https://www.youtube.com/@oussamaammaroff/videos";"Oussama Ammar";"fr"
"https://www.youtube.com/@20VC/videos";"20VC with Harry Stebbings";"en"
"https://www.youtube.com/@AlexHormozi/videos";"Alex Hormozi";"en"
"https://www.youtube.com/@PodcastBigDeal/videos";"BigDeal by Codie Sanchez#";"en"
"https://www.youtube.com/@MarketingMania/videos";"Marketing Mania";"fr"
"https://www.youtube.com/@MarketingManiaDaily/videos";"Marketing Mania Daily";"fr"
"https://www.youtube.com/@MyFirstMillionPod/videos";"My First Million";"en"
"https://www.youtube.com/@RacemFlazi/videos";"Racem Flazi";"fr"
"https://www.youtube.com/@ycombinator/videos";"Y Combinator";"en"
"https://www.youtube.com/@thefutur/videos";"The Futur";"en"
"https://www.youtube.com/@lexpaulson/videos";"Lex Paulson";"auto"
"https://www.youtube.com/@Fouloscopie/videos";"Fouloscopie";"fr"
"https://www.youtube.com/@IAmMarkManson/videos";"Mark Manson";"en"
"https://www.youtube.com/@leilahormozi/videos";"Leila Hormozi";"en"
"https://www.youtube.com/@Charismaoncommand/videos";"Charisma on Command";"en"
"https://www.youtube.com/@VictorFerry/videos";"Victor Ferry";"fr"
"https://www.youtube.com/@johansolutionsdigitales/videos";"Johan  Solutions Digitales";"fr"
"https://www.youtube.com/@timferriss/videos";"Tim Ferriss";"en"
"https://www.youtube.com/@PetersonAcademy/videos";"Peterson Academy";"en"
"https://www.youtube.com/@JordanBPeterson/videos";"Jordan B Peterson";"en"
"https://www.youtube.com/@TheDiaryOfACEO/videos";"The Diary Of A CEO";"en"
"https://www.youtube.com/@BryanJohnson/videos";"Bryan Johnson";"en"
"https://www.youtube.com/@SimonSinek/videos";"Simon Sinek";"en"
"https://www.youtube.com/@mikhaila/videos";"Mikhaila Peterson";"en"
"https://www.youtube.com/@TheRestIsScience";"The Rest Is Science";"en"
"https://www.youtube.com/@JustinSung/videos";"Justin Sung";"en"
"https://www.youtube.com/@veritasium";"Veritasium";"en"
"https://www.youtube.com/@Shubham_Sharma/videos";"Shubham SHARMA";"fr"
"https://www.youtube.com/@ScienceEtonnante/videos";"ScienceEtonnante";"fr"
"https://www.youtube.com/@scilabus/videos";"Scilabus";"fr"
"https://www.youtube.com/@nicknorwitzMDPhD";"Nick Norwitz MD PhD";"en"
"https://www.youtube.com/@JeffSu/videos";"Jeff Su";"en"
"https://www.youtube.com/@RISKINTEL-TV/videos";"RISKINTEL MEDIA#";"fr"
"https://www.youtube.com/@NicholasCrownYouTube/videos";"Nicholas Crown";"en"
"https://www.youtube.com/@askvinh";"Vinh Giang";"en"
"https://www.youtube.com/@sharran/videos";"Sharran Srivatsaa";"en"
"https://www.youtube.com/@graceleungyl/videos";"Grace Leung";"en"
"https://www.youtube.com/@marc-lou/videos";"Marc Lou";"en"
"https://www.youtube.com/@jesseitzler4/videos";"Jesse Itzler";"en"
"https://www.youtube.com/@Shelbysappyt/videos";"Shelby Sapp";"en"
"https://www.youtube.com/@NassimSahili/videos";"Nassim Sahili";"fr"
"https://www.youtube.com/@le_science4all/videos";"Science4All";"fr"
"https://www.youtube.com/@johnnyharris/videos";"Johnny Harris";"en"
"https://www.youtube.com/@Vsauce/videos";"Vsauce";"en"
"https://www.youtube.com/@Heu7reka/videos";"Heureka";"fr"
"https://www.youtube.com/@deseconomistesetdeshommes5254/videos";"Des Úconomistes et des Hommes";"fr"
"https://www.youtube.com/@BusinessUntitled/videos";"Business Untitled";"en"
"https://www.youtube.com/@ifa-asso/videos";"Institut franþais des administrateurs (IFA)";"fr"
"https://www.youtube.com/@PeterAttiaMD/videos";"Peter Attia MD";"en"
"https://www.youtube.com/@LindaRaynier/videos";"Linda Raynier";"en"
"https://www.youtube.com/@lexfridman/videos";"Lex Fridman";"en"
"https://www.youtube.com/@SelfMadeMillennial/videos";"Self Made Millennial";"en"
